Combo Conversion Expanded — visitors = EnrichedRaw; purchasers = OrdersEnrichedMatched,Min Visitors,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Combo Size,Visitors,Purchasers,Conversion %,GENDER,AGE_RANGE,INCOME_RANGE,NET_WORTH,HOMEOWNER,MARRIED,CHILDREN,SKIPTRACE_CREDIT_RATING,SKIPTRACE_ETHNIC_CODE,DEPARTMENT,SENIORITY_LEVEL,STATE,ECO,FIR1,FIR2,OUT2,RL1500MAX-W,RL2,RL500MID-W,COM2,RL900PRO-B   ,RL900PRO-W,TRA2
42,4,106,7,6.6%,M,35-44,,,Y,,,,,Finance,,,1,1,2,0,0,3,0,0,0,0,0
43,3,137,9,6.6%,,65 and older,"$200,000 to $249,000",,Y,,,,,,,,0,2,3,0,0,3,0,1,0,0,0
44,2,107,7,6.5%,,,,,,,,B,,,,CO,1,1,1,0,0,2,0,2,0,0,0
45,3,123,8,6.5%,M,35-44,,"$100,000 to $149,999",,,,,,,,,1,3,1,0,0,2,0,1,0,0,0
46,5,108,7,6.5%,,35-44,"$100,000 to $149,999",,Y,,Y,C,,,,,2,0,2,1,0,1,0,0,0,1,0
47,5,108,7,6.5%,M,,,"$500,000 to $749,999",,Y,Y,,,,Staff,,0,2,4,0,0,1,0,0,0,0,0
48,5,108,7,6.5%,M,35-44,,,Y,Y,,,,,,CA,2,2,2,1,0,0,0,0,0,0,0
49,2,140,9,6.4%,,65 and older,"$200,000 to $249,000",,,,,,,,,,0,2,3,0,0,3,0,1,0,0,0
50,3,109,7,6.4%,M,,,,,N,,,,,,CO,2,0,3,0,0,2,0,0,0,0,0
51,4,125,8,6.4%,,35-44,"$100,000 to $149,999",,Y,,,C,,,,,2,0,3,1,0,1,0,0,0,1,0
52,5,125,8,6.4%,M,35-44,,,Y,N,,,,,Manager,,0,0,0,2,0,4,0,2,0,0,0
53,4,110,7,6.4%,,,"$100,000 to $149,999",,,Y,,B,,,Staff,,2,1,1,1,0,1,0,1,0,0,0
54,5,110,7,6.4%,,,"$100,000 to $149,999",,Y,Y,,B,,,Staff,,2,1,1,1,0,1,0,1,0,0,0
55,5,173,11,6.4%,,35-44,,"$750,000 to $999,999",Y,,Y,,,,,CA,4,0,3,2,0,1,0,0,0,1,0
56,3,126,8,6.3%,,,"$75,000 to $99,999",,Y,,,,,Finance,,,1,0,3,0,0,4,0,0,0,0,0
57,4,142,9,6.3%,M,,,,Y,,Y,,,,,MO,1,3,0,0,0,1,0,4,0,0,0
58,3,127,8,6.3%,,,,,,N,,,T3,,Manager,,5,1,0,1,0,1,0,0,0,0,0
59,3,112,7,6.3%,,35-44,,,,,,,,Finance,Staff,,1,1,3,0,0,2,0,0,0,0,0
60,4,112,7,6.3%,M,,,,Y,,,U,,,Cxo,,0,0,5,0,0,1,0,1,0,0,0
61,5,113,7,6.2%,,,"$100,000 to $149,999","$750,000 to $999,999",,Y,Y,,,,Staff,,2,0,3,1,0,1,0,0,0,0,0
62,4,178,11,6.2%,,35-44,,"$750,000 to $999,999",,,Y,,,,,CA,4,0,3,2,0,1,0,0,0,1,0
63,3,244,15,6.1%,M,,"$150,000 to $199,999",,,N,,,,,,,4,1,1,0,0,6,0,3,0,0,0
64,5,114,7,6.1%,M,35-44,"$100,000 to $149,999",,Y,,,,,,Staff,,2,2,2,0,0,0,0,1,0,0,0
